generation,best_score,best_batt,best_h2,best_reliability,best_annual_served_kwh
1,12.546592517417192,405.6680760555242,69.17134105028,0.9993717392732027,186268.28023697657
2,12.517439264681618,254.94551428699782,123.17720381719008,0.9949795456565667,185449.63956575486
3,12.456010686743474,302.71749647545164,105.62532275400957,0.9993717392732027,186268.28023697657
4,10.906571524541155,373.3350990395917,50.0,0.9993717392732027,186268.28023697657
5,10.906571524541155,373.3350990395917,50.0,0.9993717392732027,186268.28023697657
6,10.463390926133053,335.9789940207847,50.0,0.9993717392732027,186268.28023697657
7,10.463390926133053,335.9789940207847,50.0,0.9993717392732027,186268.28023697657
8,10.463390926133053,335.9789940207847,50.0,0.9993717392732027,186268.28023697657
9,10.148302355758823,321.2843003587876,50.0,0.9992056542391629,186237.32441498563
10,10.148302355758823,321.2843003587876,50.0,0.9992056542391629,186237.32441498563
11,9.602343432095964,281.6287642502832,50.0,0.987495135854163,184054.65500926104
12,9.477691937634592,264.6728262500907,50.0,0.9644470322692485,179758.82549079985
13,9.477691937634592,264.6728262500907,50.0,0.9644470322692485,179758.82549079985
14,9.464410821135202,266.0310579844722,50.0,0.966764504100503,180190.7683560437
15,9.460635835369212,265.479330357208,50.0,0.9658280691624442,180016.23057534473
16,9.460096342224269,265.40025788436117,50.0,0.9656936438045166,179991.17565408026
17,9.460096342224269,265.40025788436117,50.0,0.9656936438045166,179991.17565408026
18,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
19,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
20,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
21,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
22,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
23,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
24,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
25,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
26,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
27,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
28,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
29,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
30,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
31,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
32,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
33,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
34,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
35,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
36,9.460087335963287,265.3989380407978,50.0,0.9656914000345036,179990.75744815634
37,9.459067880064826,258.42310353106507,50.0,0.9532603671036315,177673.79466583199
38,9.459067880064826,258.42310353106507,50.0,0.9532603671036315,177673.79466583199
39,9.459067880064826,258.42310353106507,50.0,0.9532603671036315,177673.79466583199
40,9.459067880064826,258.42310353106507,50.0,0.9532603671036315,177673.79466583199
